Name,Sb,Sn,Cd,Pd,Ag,Bal,Mo,Nb,Zr,Sr,Rb,Bi,As,Se,Au,Pb,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S,Mg
CH-149,0,0,0,0,0,50.65558382,0,0.001385468,0.012856307,0.013678921,0.00727,0,0.003114,0,0,0.010024926,0,0.007656957,0.002153999,0,0,3.962769684,0.273276501,0.009614345,0.028120975,0.248010106,6.391231123,2.291384209,5.601882588,0.118518474,29.1030529,0.029275699,0.58120564,0.647933356
CH-148,0,0,0,0,0,54.29525257,0,0.00125461,0.008905947,0.012519676,0.008339692,0,0.000776289,0,0,0,0,0.003662471,0,0,0,2.943481847,0.0660067,0.00717177,0.019217736,0.238504529,4.755343136,2.601529823,5.899402372,0.099445375,28.27308737,0.018154327,0.092131484,0.655812274
TRR-041,0,0,0,0,0,53.53304755,0,0.001203803,0.011799752,0.011410759,0.004447914,0,0.001246762,0,0,0,0,0.004673998,0,0,0,2.695069972,0.051739152,0.007300448,0.017744853,0.203900553,4.815822156,1.854862955,4.858502304,0.112439553,30.42776139,0.034552079,0.863537373,0.488936677
CH-131,0,0,0,0,0,50.90505472,0,0.001742248,0.029337895,0.002986577,0.003486943,0,0.001158154,0,0,0,0,0.003452395,0,0,0,3.292858519,0.101134563,0.011807518,0.02093692,0.420227607,0.424597022,1.702991954,5.375532426,0.236265012,37.12875627,0.016143572,0,0.321529682
CH-081_25-30cm,0,0,0,0,0,62.3962249,0.000413531,0.001998914,0.01710599,0.001254882,0.00593743,0,0.0030638,0,0,0,0,0.003218503,0,0,0,4.54841213,0.057460888,0.016381914,0.024229057,0.418402224,0,0.982576022,9.666723614,0.140223204,21.64932356,0.04878616,0.018263278,0
TRR-044,0,0,0,0,0,53.64531069,0,0.000962589,0.010796395,0.012431188,0.009514173,0,0.000588507,0,0,0,0,0.003099956,0,0,0,2.225826146,0.043242619,0.006647504,0.028290114,0.214260651,0.41280951,3.464540213,6.530237679,0.138606724,32.88807731,0.035701149,0,0.329056882
TRR-008,0,0,0,0,0,49.88030813,0.000336728,0.001314967,0.013261755,0.011591497,0.005838224,0,0.001904941,0,0,0,0,0.004421156,0,0,0,2.940978965,0.061340164,0.009183749,0.020941128,0.22911863,3.365618752,2.206622587,5.943313215,0.137626367,34.56509234,0.026136577,0.077366899,0.497683227
TRR-009,0,0,0,0,0,49.47380972,0.000417206,0.001284598,0.010050636,0.01374865,0.00517486,0,0.001157553,0,0,0,0,0.003488575,0,0,0,3.060877142,0.061415051,0.015260848,0.016328927,0.188515306,7.007982764,1.754279928,4.716856134,0.104218589,32.9299938,0.019917494,0,0.615222222
CH-141,0,0,0,0,0,51.46658509,0.000309881,0.001607023,0.006215465,0.008344673,0.0094715,0,0,0,0,0.0009335,0,0,0,0,0,1.195148099,0.026053153,0,0.016774355,0.155697161,0.621083534,3.565502221,4.764322338,0.15877289,38.00317911,0,0,0
CH-135,0,0,0,0,0,53.67048262,0,0.000670003,0.006413567,0.003724695,0.004598839,0,0.000718637,0,0,0,0,0.001519912,0,0,0,2.481520287,0.054208488,0.007650144,0.017668539,0.217210143,0.685673721,2.169802354,5.115208081,0.112532811,34.93148947,0.013444606,0,0.505463077
